Date,Time,study_ID,subject_ID,participant_ID,age,gender,session,condition,response,corr3,trial_index,accuracy,bias_old,bias_sim,bias_new
08/23/2024,18:47:00,27,17814,148,12,Male,1,TF,0,2,56,0,0.02921348314606742,0.16404494382022472,-0.19325842696629214
08/23/2024,18:47:00,27,17814,148,12,Male,1,TF,1,2,68,0,0.02921348314606742,0.16404494382022472,-0.19325842696629214
08/23/2024,18:47:00,27,17814,148,12,Male,1,TF,1,2,74,0,0.02921348314606742,0.16404494382022472,-0.19325842696629214
08/23/2024,18:47:00,27,17814,148,12,Male,1,TF,1,2,80,0,0.02921348314606742,0.16404494382022472,-0.19325842696629214
08/23/2024,18:47:00,27,17814,148,12,Male,1,TF,0,2,86,0,0.02921348314606742,0.16404494382022472,-0.19325842696629214
08/23/2024,18:47:00,27,17814,148,12,Male,1,TF,0,2,92,0,0.02921348314606742,0.16404494382022472,-0.19325842696629214
08/23/2024,18:47:00,27,17814,148,12,Male,1,TF,0,2,98,0,0.02921348314606742,0.16404494382022472,-0.19325842696629214
08/23/2024,18:47:00,27,17814,148,12,Male,1,TF,1,2,104,0,0.02921348314606742,0.16404494382022472,-0.19325842696629214
08/23/2024,18:47:00,27,17814,148,12,Male,1,TF,0,2,110,0,0.02921348314606742,0.16404494382022472,-0.19325842696629214
08/23/2024,18:47:00,27,17814,148,12,Male,1,TF,0,2,116,0,0.02921348314606742,0.16404494382022472,-0.19325842696629214
08/23/2024,18:47:00,27,17814,148,12,Male,1,TF,1,2,122,0,0.02921348314606742,0.16404494382022472,-0.19325842696629214
09/29/2024,07:38:00,27,17814,148,12,Male,10,TF,1,2,14,0,0.02921348314606742,0.16404494382022472,-0.19325842696629214
09/29/2024,07:38:00,27,17814,148,12,Male,10,TR,0,0,20,1,0.02921348314606742,0.16404494382022472,-0.19325842696629214
09/29/2024,07:38:00,27,17814,148,12,Male,10,TL,1,1,26,1,0.02921348314606742,0.16404494382022472,-0.19325842696629214
09/29/2024,07:38:00,27,17814,148,12,Male,10,TR,2,0,32,0,0.02921348314606742,0.16404494382022472,-0.19325842696629214
09/29/2024,07:38:00,27,17814,148,12,Male,10,TF,2,2,38,1,0.02921348314606742,0.16404494382022472,-0.19325842696629214
09/29/2024,07:38:00,27,17814,148,12,Male,10,TL,2,1,44,0,0.02921348314606742,0.16404494382022472,-0.19325842696629214
09/29/2024,07:38:00,27,17814,148,12,Male,10,TR,2,0,50,0,0.02921348314606742,0.16404494382022472,-0.19325842696629214
09/29/2024,07:38:00,27,17814,148,12,Male,10,TR,1,0,62,0,0.02921348314606742,0.16404494382022472,-0.19325842696629214
09/29/2024,07:38:00,27,17814,148,12,Male,10,TL,1,1,68,1,0.02921348314606742,0.16404494382022472,-0.19325842696629214
09/29/2024,07:38:00,27,17814,148,12,Male,10,TF,0,2,74,0,0.02921348314606742,0.16404494382022472,-0.19325842696629214
09/29/2024,07:38:00,27,17814,148,12,Male,10,TR,1,0,80,0,0.02921348314606742,0.16404494382022472,-0.19325842696629214
09/29/2024,07:38:00,27,17814,148,12,Male,10,TF,1,2,86,0,0.02921348314606742,0.16404494382022472,-0.19325842696629214
09/29/2024,07:38:00,27,17814,148,12,Male,10,TL,0,1,92,0,0.02921348314606742,0.16404494382022472,-0.19325842696629214
09/29/2024,07:38:00,27,17814,148,12,Male,10,TF,1,2,98,0,0.02921348314606742,0.16404494382022472,-0.19325842696629214
09/29/2024,07:38:00,27,17814,148,12,Male,10,TF,1,2,104,0,0.02921348314606742,0.16404494382022472,-0.19325842696629214
09/29/2024,07:38:00,27,17814,148,12,Male,10,TF,0,2,110,0,0.02921348314606742,0.16404494382022472,-0.19325842696629214
09/29/2024,07:38:00,27,17814,148,12,Male,10,TL,0,1,116,0,0.02921348314606742,0.16404494382022472,-0.19325842696629214
09/29/2024,07:38:00,27,17814,148,12,Male,10,TF,0,2,122,0,0.02921348314606742,0.16404494382022472,-0.19325842696629214
